Ticker
A
AAPL
ABBV
ABNB
ABT
ACGL
ACN
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AFL
AIG
AIZ
AJG
AKAM
ALB
ALGN
ALL
ALLE
AMAT
AMCR
AMD
AME
AMGN
AMP
AMT
AMZN
ANET
AON
AOS
APA
APD
APH
APO
APP
APTV
ARE
ARES
ATO
AVB
AVGO
AVY
AWK
AXON
AXP
AZO
BA
BAC
BALL
BAX
BBY
BDX
BEN
BF-B
BG
BIIB
BK
BKNG
BKR
BLDR
BLK
BMY
BR
BRK-B
BRO
BSX
BX
BXP
C
CAG
CAH
CARR
CAT
CB
CBOE
CBRE
CCI
CCL
CDNS
CDW
CEG
CF
CFG
CHD
CHRW
CHTR
CI
CIEN
CINF
CL
CLX
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COIN
COO
COP
COR
COST
CPAY
CPB
CPRT
CPT
CRH
CRL
CRM
CRWD
CSCO
CSGP
CSX
CTAS
CTRA
CTSH
CTVA
CVNA
CVS
CVX
D
DAL
DASH
DD
DDOG
DE
DECK
DELL
DG
DGX
DHI
DHR
DIS
DLR
DLTR
DOC
DOV
DOW
DPZ
DRI
DTE
DUK
DVA
DVN
DXCM
EA
EBAY
ECL
ED
EFX
EG
EIX
EL
ELV
EME
EMR
EOG
EPAM
EQIX
EQR
EQT
ERIE
ES
ESS
ETN
ETR
EVRG
EW
EXC
EXE
EXPD
EXPE
EXR
F
FANG
FAST
FCX
FDS
FDX
FE
FFIV
FICO
FIS
FISV
FITB
FIX
FOX
FOXA
FRT
FSLR
FTNT
FTV
GD
GDDY
GE
GEHC
GEN
GEV
GILD
GIS
GL
GLW
GM
GNRC
GOOG
GOOGL
GPC
GPN
GRMN
GS
GWW
HAL
HAS
HBAN
HCA
HD
HIG
HII
HLT
HOLX
HON
HOOD
HPE
HPQ
HRL
HSIC
HST
HSY
HUBB
HUM
HWM
IBKR
IBM
ICE
IDXX
IEX
IFF
INCY
INTC
INTU
INVH
IP
IQV
IR
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JBL
JCI
JKHY
JNJ
JPM
KDP
KEY
KEYS
KHC
KIM
KKR
KLAC
KMB
KMI
KO
KR
KVUE
L
LDOS
LEN
LH
LHX
LII
LIN
LLY
LMT
LNT
LOW
LRCX
LULU
LUV
LVS
LW
LYB
LYV
MA
MAA
MAR
MAS
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
META
MGM
MKC
MLM
MMM
MNST
MO
MOH
MOS
MPC
MPWR
MRK
MRNA
MRSH
MS
MSCI
MSFT
MSI
MTB
MTCH
MTD
MU
NCLH
NDAQ
NDSN
NEE
NEM
NFLX
NI
NKE
NOC
NOW
NRG
NSC
NTAP
NTRS
NUE
NVDA
NVR
NWS
NWSA
NXPI
O
ODFL
OKE
OMC
ON
ORCL
ORLY
OTIS
OXY
PANW
PAYC
PAYX
PCAR
PCG
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PLD
PLTR
PM
PNC
PNR
PNW
PODD
POOL
PPG
PPL
PRU
PSA
PSKY
PSX
PTC
PWR
PYPL
Q
QCOM
RCL
REG
REGN
RF
RJF
RL
RMD
ROK
ROL
ROP
ROST
RSG
RTX
RVTY
SBAC
SBUX
SCHW
SHW
SJM
SLB
SMCI
SNA
SNDK
SNPS
SO
SOLV
SPG
SPGI
SRE
STE
STLD
STT
STX
STZ
SW
SWK
SWKS
SYF
SYK
SYY
T
TAP
TDG
TDY
TECH
TEL
TER
TFC
TGT
TJX
TKO
TMO
TMUS
TPL
TPR
TRGP
TRMB
TROW
TRV
TSCO
TSLA
TSN
TT
TTD
TTWO
TXN
TXT
TYL
UAL
UBER
UDR
UHS
ULTA
UNH
UNP
UPS
URI
USB
V
VICI
VLO
VLTO
VMC
VRSK
VRSN
VRTX
VST
VTR
VTRS
VZ
WAB
WAT
WBD
WDAY
WDC
WEC
WELL
WFC
WM
WMB
WMT
WRB
WSM
WST
WTW
WY
WYNN
XEL
XOM
XYL
XYZ
YUM
ZBH
ZBRA
ZTS
LLOY.L
SN.L
EXPN.L
DGE.L
IAG.L
HLN.L
KGF.L
NWG.L
RKT.L
ULVR.L
SBRY.L
IMB.L
BARC.L
GSK.L
STAN.L
SMT.L
HSBA.L
PSON.L
BATS.L
TSCO.L
AZN.L
PSH.L
EZJ.L
VOD.L
BT-A.L
BNZL.L
RR.L
PCT.L
FCIT.L
ALW.L
HIK.L
CAN.L
SDR.L
CCEP.L
PRU.L
CPG.L
ABF.L
MKS.L
ADM.L
AUTO.L
MRO.L
INF.L
NG.L
IMI.L
CRDA.L
SGE.L
BP.L
BKG.L
NXT.L
ITRK.L
AV.L
SMIN.L
HLMA.L
LSEG.L
STJ.L
BA.L
SSE.L
CTEC.L
HWDN.L
IHG.L
SHEL.L
MNG.L
BLND.L
RMV.L
JD.l
LGEN.L
SVT.L
UU.L
CCH.L
ICG.L
PHNX.L
DPLM.L
WTB.L
LAND.L
REL.L
DCC.L
AHT.L
SGRO.L
HSX.L
SPX.L
GAW.L
LMP.L
WEIR.L
BTRW.L
BAB.L
RIO.L
GLEN.L
RTO.L
BRBY.L
PSN.L
III.L
ENT.L
AAL.L
MNDI.L
MTLN.L
ANTO.L
FRES.L
EDV.L
AAF.L
SPY
IVV
VTI
IWM
EFA
EEM
VEA
VWO
AGG
BND
TLT
IEI
SHY
LQD
HYG
GLD
IAU
DBC
VNQ
XLK
